date,partner_id,partner_segment,channel,payment_method,processor,transaction_count,gross_volume,net_revenue,authorization_rate,capture_rate,decline_rate,return_rate,chargeback_rate,gateway_latency_ms,settlement_delay_hours,reconciliation_variance,data_quality_score
2026-01-01,P001,Core,online,card,processor_c,292,24397.14,151.26,0.9162,0.9101,0.0492,0.0062,0.0085,368,32.3,11.97,93.1
2026-01-01,P001,Core,online,ach,processor_a,67,11363.57,53.41,0.9417,0.9264,0.0191,0.0184,0.0054,391,63.7,-8.68,93.7
2026-01-01,P001,Core,online,p2p,processor_b,40,1794.92,10.05,0.9299,0.9186,0.0356,0.0125,0.0071,463,24.2,-1.25,95.5
2026-01-01,P001,Core,online,wallet,processor_c,76,4916.12,27.53,0.9312,0.9245,0.0437,0.0044,0.002,468,15.3,0.2,93.8
2026-01-01,P001,Core,online,tokenized_card,processor_d,22,1822.01,10.2,0.947,0.9393,0.0239,0.0019,0.0056,619,37.8,0.7,94.4
2026-01-01,P001,Core,in_app,card,processor_d,132,6322.39,39.2,0.9033,0.8954,0.0587,0.0052,0.0034,435,34.1,-3.41,93.9
2026-01-01,P001,Core,in_app,ach,processor_a,33,3776.52,17.75,0.9466,0.9319,0.0258,0.0202,0.0014,364,56.3,5.04,92.8
2026-01-01,P001,Core,in_app,p2p,processor_d,19,663.01,3.71,0.9193,0.9071,0.0613,0.0125,0.0032,457,44.7,0.58,93.9
2026-01-01,P001,Core,in_app,wallet,processor_b,34,1477.78,8.28,0.9218,0.9047,0.0548,0.0068,0.0021,469,15.6,1.59,93.6
2026-01-01,P001,Core,in_app,tokenized_card,processor_d,18,969.38,5.43,0.9287,0.912,0.0349,0.0059,0.0038,507,42.3,0.23,94.8
2026-01-01,P001,Core,in_store,card,processor_c,203,9312.52,57.74,0.8923,0.8859,0.0752,0.0048,0.0059,276,14.1,-0.54,93.5
2026-01-01,P001,Core,in_store,ach,processor_b,47,4329.61,20.35,0.9257,0.919,0.0342,0.0181,0.0035,394,60.9,3.22,92.4
2026-01-01,P001,Core,in_store,p2p,processor_b,25,652.99,3.66,0.9065,0.8982,0.0562,0.0104,0.003,379,19.3,0.24,96.8
2026-01-01,P001,Core,in_store,wallet,processor_b,48,1912.68,10.71,0.9255,0.9078,0.0421,0.0059,0.0043,383,26.9,0.88,96.2
2026-01-01,P001,Core,in_store,tokenized_card,processor_c,18,909.54,5.09,0.9576,0.9505,0.0118,0.0043,0.0014,356,19.7,-0.06,96.1
2026-01-01,P001,Core,mobile,card,processor_b,111,4874.1,30.22,0.8911,0.8816,0.0721,0.0038,0.0048,484,26.7,-1.03,95.1
2026-01-01,P001,Core,mobile,ach,processor_b,23,2067.41,9.72,0.9488,0.931,0.0172,0.0213,0.001,530,56.8,0.15,95.9
2026-01-01,P001,Core,mobile,p2p,processor_a,18,463.44,2.6,0.933,0.9283,0.0295,0.0117,0.0044,346,18.5,-0.32,95.6
2026-01-01,P001,Core,mobile,wallet,processor_a,28,856.86,4.8,0.9349,0.9295,0.0423,0.0057,0.005,379,20.2,-0.45,93.5
2026-01-01,P001,Core,mobile,tokenized_card,processor_a,18,828.77,4.64,0.9604,0.9486,0.0095,0.0009,0.0059,319,21.7,-0.6,93.5
2026-01-01,P001,Core,unattended,card,processor_a,65,1186.85,7.36,0.9117,0.8972,0.05,0.0013,0.0043,445,32.7,-0.15,96.4
2026-01-01,P001,Core,unattended,wallet,processor_b,18,298.45,1.67,0.9323,0.9232,0.0481,0.0066,0.0045,709,36.9,0.38,92.4
2026-01-01,P001,Core,unattended,tokenized_card,processor_c,18,364.0,2.04,0.9495,0.9323,0.0293,0.0049,0.0042,690,23.5,0.12,95.8
2026-01-01,P001,Core,recurring,card,processor_c,45,3100.08,19.22,0.8972,0.8909,0.0777,0.0021,0.001,493,26.7,2.45,92.9
2026-01-01,P001,Core,recurring,ach,processor_a,18,2506.6,11.78,0.9505,0.9354,0.0241,0.0175,0.0028,389,42.6,2.68,95.2
2026-01-01,P001,Core,recurring,wallet,processor_c,18,1037.01,5.81,0.9171,0.9105,0.0587,0.0062,0.0016,482,32.9,1.08,94.4
2026-01-01,P001,Core,recurring,tokenized_card,processor_c,18,1249.62,7.0,0.9594,0.9446,0.0157,0.0031,0.0037,392,25.2,1.15,91.7
2026-01-01,P002,Core,online,card,processor_a,243,17512.7,108.58,0.9082,0.8943,0.0675,0.0051,0.0085,310,22.0,-11.86,93.0
2026-01-01,P002,Core,online,ach,processor_b,57,9276.31,43.6,0.9261,0.9207,0.0549,0.0167,0.0051,425,64.3,11.26,92.5
2026-01-01,P002,Core,online,p2p,processor_b,38,1757.07,9.84,0.9148,0.9062,0.0497,0.0127,0.0068,421,36.3,0.74,96.2
2026-01-01,P002,Core,online,wallet,processor_a,65,4616.24,25.85,0.9265,0.9165,0.0344,0.0053,0.0023,380,18.4,1.1,95.8
